路径ID,GAN收益率,普通策略收益率,收益放大倍数,是否曾激活,最终价格,最高价格,最低价格,价格区间,实现波动率,初始价格,激活中心,激活带宽
301,-0.04956428929978536,-0.35802627881831045,0.13843757353056763,True,97.06432395751573,100.96256260020131,95.69362609571843,5.26893650448288,0.00327146021807218,100,100,2
302,-0.049803386580342515,0.03252126922968561,-1.531409682340494,True,104.72160752601145,109.02996166719225,97.36103201425799,11.668929652934267,0.0032971364741340957,100,100,2
303,-0.04913122094985023,-0.8601078271003092,0.05712216468891679,True,99.3602883000308,103.15286405524887,96.91115307356323,6.241710981685642,0.0034970498593074203,100,100,2
304,-0.04962978438804589,0.5027959343911902,-0.09870760877997165,True,106.87212244952063,107.53266376139494,98.40279754174844,9.129866219646502,0.0034189858694518875,100,100,2
305,-0.04915832656340608,-0.9680258385682529,0.05078203969856127,True,100.1462143645396,103.10323650616594,96.01781850737738,7.085417998788557,0.0031325975110293143,100,100,2
306,-0.04949624871583758,-0.9183051963587566,0.05389956292537493,True,100.37358145657987,108.62275742196388,98.79819251638719,9.824564905576693,0.003141943163248508,100,100,2
307,-0.04998494880563787,2.648722217801214,-0.01887134425411054,True,116.68521007489586,117.812725423385,100.0,17.812725423385004,0.0031320602370485673,100,100,2
308,-0.04962081104668523,0.5482710968700801,-0.09050415265359779,True,92.91992457575071,101.126168844055,92.63166630205497,8.494502542000035,0.0030981797838871114,100,100,2
309,-0.04941388271501481,-0.4820465727120841,0.10250852409758474,True,102.36854471988802,105.14660779189735,98.23143131120477,6.91517648069258,0.0032386965478989733,100,100,2
310,-0.0494249344580869,-0.725694881598341,0.06810704569009585,True,101.25436748865715,105.13943606354356,96.24946391863872,8.889972144904831,0.0032600786379969903,100,100,2
311,-0.049495129689450794,-0.9211573468754185,0.05373146059936353,True,99.63946111769546,105.01658381175905,98.75925642675261,6.257327385006434,0.0031469276590322904,100,100,2
312,-0.04996094959061525,-0.09335054697083486,0.5351971810751612,True,95.8539906068275,100.0,93.62901508969662,6.3709849103033775,0.003047091614603103,100,100,2
313,-0.04988241328677787,-0.33596275015613,0.14847602379607952,True,103.03657016068432,105.75753961184365,100.0,5.757539611843654,0.0032193136088577916,100,100,2
314,-0.04922581042677675,-0.8148012219523771,0.06041450245843379,True,99.15310611965393,101.62563610009542,95.11491646790805,6.510719632187374,0.0034683226092692217,100,100,2
315,-0.0496065734575056,-0.28130173594239727,0.17634648890920332,True,96.71347096313337,104.67777220291653,95.58341363557,9.094358567346532,0.003294914058633738,100,100,2
316,-0.049580498102082794,-0.09957611079194224,0.4979155914783416,True,95.88245943344386,101.99707731990745,95.64051192443313,6.35656539547432,0.0032955325717762087,100,100,2
317,-0.049371380631936496,-0.5682219336005507,0.08688749538247083,True,98.02552583793332,103.49863724133301,97.06575859626489,6.432878645068129,0.003129121619100119,100,100,2
318,-0.049319190311034614,-0.5598663473096037,0.08809100698413885,True,97.98731665010224,103.22325548254197,97.46040088721314,5.762854595328832,0.003128994230636991,100,100,2
319,-0.049702346282269994,-0.5219005859732381,0.09523335979702967,True,102.1862966494962,105.04547473201451,99.7446259009063,5.300848831108212,0.0034064557006188946,100,100,2
320,-0.04970936906314827,-0.05259672882952136,0.945103814806968,True,95.66762782653021,101.46111624711516,94.22211831267562,7.2389979344395385,0.0034353765292697426,100,100,2
321,-0.04998628019242045,1.7259888946768756,-0.02896095122429999,True,112.46565089214332,114.92859175101147,100.0,14.928591751011467,0.0032196560030085504,100,100,2
322,-0.049909273744909464,1.7575327614327578,-0.028397350444962936,True,112.60989756590452,112.61907404363947,98.90690314040971,13.712170903229762,0.00314437008334737,100,100,2
323,-0.049303151076782285,-0.9213729543540419,0.053510525617010155,True,100.35955293274198,105.77925015787011,97.9712024067628,7.80804775110731,0.0033265408273009675,100,100,2
